as_of_date,ticker,contract_type,strike_price,expiration_date,VIX_close,close,imp_vol,delta,gamma,theta,vega,open,high,low,volume
2024-06-03,O:VIX240618C00010000,call,10.0,2024-06-18,13.109999656677246,3.8,1.9815476444244384,0.810313080301921,0.05147631975473345,-17.64261124937791,0.007204697717515811,3.55,3.87,3.5,17.0
2024-06-03,O:VIX240618C00010500,call,10.5,2024-06-18,13.109999656677246,2.94,1.2598022834777831,0.8421646897689365,0.0720247731159866,-10.147435925747754,0.006408967146610098,2.89,2.94,2.89,3.0
2024-06-03,O:VIX240618C00011000,call,11.0,2024-06-18,13.109999656677246,2.65,1.3653528457641602,0.7818108781542057,0.08121161814051225,-13.314162180129792,0.007831894325556359,2.7,3.0,2.65,16.0
2024-06-03,O:VIX240618C00011500,call,11.5,2024-06-18,13.109999656677246,2.18,1.2042614021301268,0.747139298546099,0.09988742166999945,-12.753405995079243,0.00849640733732196,2.03,2.69,2.03,145.0
2024-06-03,O:VIX240618C00012000,call,12.0,2024-06-18,13.109999656677246,1.73,1.0590960010528565,0.7009245839473067,0.12335327407340155,-12.188771639015087,0.009227621337119563,1.67,2.26,1.57,681.0
2024-06-03,O:VIX240618C00012500,call,12.5,2024-06-18,13.109999656677246,1.3,0.9212355991363526,0.6395699667071628,0.15286718210679673,-11.432265531145163,0.009946922340498715,1.28,1.75,1.28,57.0
2024-06-03,O:VIX240618C00013000,call,13.0,2024-06-18,13.109999656677246,1.01,0.8949910068511964,0.5581252853555291,0.16593843270876946,-11.674742140155,0.01048985319971331,1.0,1.48,0.94,723.0
2024-06-03,O:VIX240618C00013500,call,13.5,2024-06-18,13.109999656677246,0.85,0.9534310001373292,0.4814469728529325,0.15727110643804482,-12.504254093132214,0.0105911218841898,0.79,1.16,0.77,5186.0
2024-06-03,O:VIX240618C00014000,call,14.0,2024-06-18,13.109999656677246,0.64,0.928483378982544,0.40279732674383323,0.15684875725574732,-11.805589152988274,0.010286294899089917,0.63,0.96,0.6,11639.0
2024-06-03,O:VIX240618C00014500,call,14.5,2024-06-18,13.109999656677246,0.56,0.9995116214752198,0.3490367871855681,0.1392974693252993,-12.119619252487693,0.009834104746764067,0.54,0.8,0.5,15061.0
2024-06-03,O:VIX240618C00015000,call,15.0,2024-06-18,13.109999656677246,0.43,0.9938850555419921,0.2879022521261946,0.12914883507788608,-11.096997380705982,0.009066306748530775,0.44,0.66,0.41,16038.0
2024-06-03,O:VIX240618C00015500,call,15.5,2024-06-18,13.109999656677246,0.39,1.0654664180755613,0.2547170064186498,0.1133338234298756,-11.174391473755296,0.008529097156247922,0.38,0.55,0.36,293.0
2024-06-03,O:VIX240618C00016000,call,16.0,2024-06-18,13.109999656677246,0.33,1.098424743270874,0.21889737837416007,0.10113538843541069,-10.587813630991143,0.007846522227880702,0.33,0.49,0.31,18334.0
2024-06-03,O:VIX240618C00017000,call,17.0,2024-06-18,13.109999656677246,0.26,1.1891936492919921,0.17093530597511591,0.08034963755607477,-9.844063073961163,0.0067490129048627025,0.26,0.37,0.25,16612.0
2024-06-03,O:VIX240618C00018000,call,18.0,2024-06-18,13.109999656677246,0.21,1.2709600498199463,0.1367299435570743,0.06484100081620073,-9.064262046467144,0.005820836012869594,0.22,0.29,0.19,20638.0
2024-06-03,O:VIX240618C00019000,call,19.0,2024-06-18,13.109999656677246,0.19,1.3782081184387205,0.11849739901666229,0.05413009187719467,-8.890296334894167,0.0052693533623927305,0.17,0.23,0.17,1581.0
2024-06-03,O:VIX240618C00020000,call,20.0,2024-06-18,13.109999656677246,0.15,1.4248609329223636,0.09474514810904822,0.044545128382777396,-7.8154651055575375,0.004483079591084638,0.16,0.22,0.14,69696.0
2024-06-03,O:VIX240618C00021000,call,21.0,2024-06-18,13.109999656677246,0.15,1.542274966430664,0.08925530657506048,0.03937442156798218,-8.089272671828022,0.004289234113588723,0.14,0.18,0.13,5169.0
2024-06-03,O:VIX240618C00022000,call,22.0,2024-06-18,13.109999656677246,0.12,1.5748518295288085,0.07259910407366427,0.032990219228068024,-7.064640901764709,0.0036696838963659923,0.13,0.15,0.12,15020.0
2024-06-03,O:VIX240618C00023000,call,23.0,2024-06-18,13.109999656677246,0.11,1.645765633392334,0.06512633023711245,0.029032445399565513,-6.7873908058946135,0.0033748568977163313,0.12,0.15,0.11,22.0
2024-06-03,O:VIX240618C00024000,call,24.0,2024-06-18,13.109999656677246,0.1,1.7073717620849609,0.058299736277186154,0.02566691772710966,-6.456488181445565,0.003095320102053839,0.1,0.1,0.1,5000.0
2024-06-03,O:VIX240618C00025000,call,25.0,2024-06-18,13.109999656677246,0.09,1.760089823913574,0.05196533756107158,0.022735262127057773,-6.076292678112525,0.0028264320758299532,0.12,0.12,0.08,8189.0
2024-06-03,O:VIX240618C00026000,call,26.0,2024-06-18,13.109999656677246,0.11,1.9101570129394532,0.05816128759456923,0.0228992659176012,-7.206274927933331,0.0030895439875080273,0.08,0.11,0.07,430.0
2024-06-03,O:VIX240618C00027000,call,27.0,2024-06-18,13.109999656677246,0.08,1.8805555541992187,0.04455023956758303,0.018812519693816893,-5.737510382695354,0.0024988310307076027,0.09,0.09,0.08,17.0
2024-06-03,O:VIX240618C00028000,call,28.0,2024-06-18,13.109999656677246,0.07,1.9108436447143555,0.03911871961585617,0.016663982929219508,-5.246543427869536,0.002249094582827017,0.09,0.09,0.07,1275.0
2024-06-03,O:VIX240618C00029000,call,29.0,2024-06-18,13.109999656677246,0.07,1.9795831146240235,0.038064131682523816,0.015731086469796225,-5.31479043847038,0.0021995620308898787,0.07,0.07,0.07,150.0
2024-06-03,O:VIX240618C00030000,call,30.0,2024-06-18,13.109999656677246,0.05,1.9426575836181643,0.028653638753066868,0.012685809848751454,-4.127232513308072,0.0017406770780291152,0.07,0.08,0.05,6121.0
2024-06-03,O:VIX240618C00031000,call,31.0,2024-06-18,13.109999656677246,0.05,2.0037678115844724,0.0279696870340162,0.012054101552193042,-4.171821396071995,0.0017060273806011107,0.06,0.06,0.05,204.0
2024-06-03,O:VIX240618C00032000,call,32.0,2024-06-18,13.109999656677246,0.05,2.0625129745483406,0.027349652065029817,0.01149400413957378,-4.2141876754288745,0.0016744484958318051,0.06,0.06,0.05,43.0
2024-06-03,O:VIX240618C00033000,call,33.0,2024-06-18,13.109999656677246,,5.0,0.34372578204089554,0.027687972179335944,-59.58818786384532,0.00977833494649123,,,,
